PAP ID,PAP Refs ,X Coord,Y Coord
15465,BUN0618,172198.761,84470.758
15468,BUN0619,172216.448,84478.101
15487,BUN0620,172338.386,84525.289
15495,BUN0621,172429.375,84560.604
15341,BUN0622,172449.761,84571.916
15338,BUN0623,172475.605,84578.109
15334,BUN0624,172496.893,84586.194
15343,BUN0625,172524.872,84596.499
15366,BUN0626,172542.006,84603.920
15367,BUN0627,172571.420,84615.052
15365,BUN0628,172589.990,84623.044
15352,BUN0629,172625.586,84636.055
15364,BUN0630,172654.506,84647.882
15363,BUN0631,172667.773,84652.719
15371,BUN0632,172694.080,84662.945
15368,BUN0633,172703.442,84669.963
15369,BUN0634,172729.285,84676.216
15370,BUN0635,172741.988,84681.552
15372,BUN0636,172760.766,84688.360
15374,BUN0637,172797.549,84702.804
15373,BUN0638,172840.703,84719.279
15375,BUN0639,172891.319,84738.962
15376,BUN0640,172924.385,84752.956
15377,BUN0641,172941.680,84758.959
15378,BUN0642,172971.296,84769.940
15381,BUN0643,173013.811,84785.696
15379,BUN0644,173026.709,84792.380
15380,BUN0645,173060.747,84803.511
15382,BUN0646,173100.155,84819.843
15383,BUN0647,173119.859,84828.489
15361,BUN0648,173172.879,84848.024
15414,BUN0649,173218.222,84864.966
15559,BUN0650,173213.034,84867.711
15579,BUN0651,173247.213,84876.557
15593,BUN0652,173289.540,84893.955
15299,BUN0653,173348.118,84916.079
15308,BUN0654,173353.676,84972.831
15320,BUN0655,173357.556,85008.493
15316,BUN0656,173363.587,85051.952
15322,BUN0657,173390.266,85113.795
15324,BUN0658,173397.902,85131.870
15329,BUN0659,173412.273,85167.446
15312,BUN0660,173440.629,85235.227
15315,BUN0661,173474.279,85315.316
15321,BUN0662,173501.998,85382.765
15356,BUN0663,173522.274,85430.630
15328,BUN0664,173537.596,85468.582
15336,BUN0665,173547.777,85489.460
15346,BUN0666,173585.492,85502.843
15349,BUN0667,173604.586,85509.840
16001,BUN0668,173634.704,85521.619
16003,BUN0669,173663.306,85530.991
16005,BUN0670,173680.218,85538.052
16007,BUN0671,173688.781,85541.689
16010,BUN0672,173704.409,85547.039
16012,BUN0673,173738.156,85559.293
16017,BUN0674,173777.311,85573.992
16023,BUN0675,173814.229,85587.923
16026,BUN0676,173846.768,85620.913
