pap_ref,total_take,rate_per_acre,land_interest,tenure
NGE0498,0.9641,3000000,100,Customary
NGE0499,0.537,3000000,100,Customary
NGE0500,0.0215,3000000,100,Customary
NGE0501,0.9696,3000000,100,Customary
NGE0502,0.706,3000000,100,Customary
NGE0503,2.5926,3000000,100,Customary
NGE0504,0.115,3000000,100,Customary
NGE0505,0.099,3000000,90,Customary
NGE0506,0.099,3000000,10,TENANT
NGE0507,0.0373,3000000,90,Customary
NGE0508,0.0373,3000000,10,TENANT
NGE0509,0.0769,3000000,90,Customary
NGE0510,0.0769,3000000,10,TENANT
NGE0511,0.1197,3000000,90,Customary
NGE0512,0.1197,3000000,10,TENANT
NGE0513,0.4172,3000000,100,Customary
NGE0514,6.5061,3000000,100,Customary
NGE0515,5.164,3000000,100,Customary
NGE0516,0.0212,3000000,100,Customary
NGE0517,0.0105,3000000,100,Customary
NGE0518,0.4002,3000000,100,Customary
NGE0519,0.3191,3000000,100,Customary
NGE0520,0.0083,3000000,100,Customary
NGE0521,0.0332,3000000,100,Customary
NGE0522,0.0135,3000000,100,Customary
NGE0523,0.0212,3000000,100,Customary
NGE0524,0.05,3000000,100,Customary
NGE0525,0.7178,3000000,100,Customary
NGE0526,0.012,3000000,100,Customary
NGE0527,0.006,3000000,100,Customary
NGE0528,0.0101,3000000,100,Customary
NGE0529,0.0778,3000000,100,Customary
